               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,             0.01253,           0.0096426,           0.0024775,             0.98241,             0.98876,             0.99433,             0.90607,           0.0071152,           0.0061713,          0.00048384,            0.004357,            0.004357,            0.004357
                  59,            0.012644,           0.0096088,           0.0021275,             0.98178,             0.99138,             0.99433,             0.90092,           0.0073558,            0.006223,          0.00056472,            0.004258,            0.004258,            0.004258
                  60,            0.012033,           0.0095955,           0.0022585,             0.98278,             0.98815,             0.99407,             0.91287,            0.006784,           0.0058904,          0.00053724,            0.004159,            0.004159,            0.004159
                  61,            0.011868,           0.0093072,           0.0024409,             0.98373,             0.98899,             0.99384,             0.90872,           0.0073372,           0.0060036,          0.00057728,             0.00406,             0.00406,             0.00406
                  62,            0.012029,           0.0094758,           0.0022369,             0.98008,             0.99072,             0.99362,             0.91539,           0.0068509,            0.005818,           0.0006516,            0.003961,            0.003961,            0.003961
                  63,            0.012195,           0.0094363,           0.0024864,             0.98042,             0.99204,             0.99384,             0.92093,           0.0069241,           0.0057867,          0.00054692,            0.003862,            0.003862,            0.003862
                  64,            0.012081,           0.0092525,           0.0025628,             0.98221,             0.98582,             0.99384,             0.90657,           0.0069219,           0.0059601,          0.00049947,            0.003763,            0.003763,            0.003763
                  65,            0.011794,           0.0094186,            0.002505,             0.98333,             0.98227,             0.99407,             0.90459,           0.0072749,           0.0062313,          0.00056659,            0.003664,            0.003664,            0.003664
                  66,            0.011589,           0.0094061,           0.0021255,             0.97906,             0.99243,             0.99433,             0.91674,            0.007071,           0.0059137,          0.00048155,            0.003565,            0.003565,            0.003565
                  67,            0.011789,           0.0095542,           0.0019302,             0.98315,              0.9853,             0.99433,             0.90792,           0.0071483,           0.0060063,          0.00053176,            0.003466,            0.003466,            0.003466
                  68,            0.011735,           0.0090733,           0.0023256,             0.98334,             0.98532,             0.99407,             0.90677,           0.0071375,           0.0059589,          0.00054524,            0.003367,            0.003367,            0.003367
                  69,            0.011879,           0.0090982,            0.002343,             0.98292,             0.99004,             0.99407,             0.91316,           0.0069454,           0.0060067,           0.0005572,            0.003268,            0.003268,            0.003268
                  70,            0.011726,           0.0093698,           0.0017517,             0.98283,             0.99415,             0.99433,             0.91268,           0.0068927,           0.0059922,           0.0004266,            0.003169,            0.003169,            0.003169
                  71,            0.011671,            0.009263,           0.0025233,              0.9811,             0.99549,             0.99433,             0.92018,           0.0068709,           0.0059248,          0.00045114,             0.00307,             0.00307,             0.00307
                  72,            0.011617,             0.00919,           0.0018985,             0.98292,             0.98862,             0.99407,             0.92238,           0.0063512,           0.0057374,           0.0005168,            0.002971,            0.002971,            0.002971
